Station,Year,mean,min,max
FRA00047,2016,0.001175,0.001,0.0014
FRA00047,2017,0.00115,0.0006,0.0019
FRA00048,2018,0.02,0.02,0.02
FRA00048,2021,0.02,0.02,0.02
FRA00049,2018,0.02,0.02,0.02
FRA00049,2021,0.0201,0.02,0.0212
FRA00050,2018,0.021818181818181816,0.02,0.04
FRA00050,2021,0.02,0.02,0.02
FRA00051,2018,0.021818181818181816,0.02,0.04
FRA00051,2021,0.02,0.02,0.02
FRA00052,2016,0.020050000000000002,0.02,0.0206
FRA00052,2017,0.021358333333333337,0.02,0.0289
FRA00052,2018,0.02,0.02,0.02
FRA00052,2019,0.02,0.02,0.02
FRA00052,2020,0.02,0.02,0.02
FRA00052,2021,0.020066666666666667,0.02,0.0208
FRA00053,2016,0.02,0.02,0.02
FRA00053,2017,0.02,0.02,0.02
FRA00053,2018,0.022222222222222223,0.02,0.04
FRA00053,2019,0.02,0.02,0.02
FRA00053,2020,0.02,0.02,0.02
FRA00053,2021,0.02,0.02,0.02
FRA00054,2016,0.02,0.02,0.02
FRA00054,2017,0.02,0.02,0.02
FRA00054,2018,0.02,0.02,0.02
FRA00054,2019,0.02,0.02,0.02
FRA00054,2020,0.02,0.02,0.02
FRA00054,2021,0.02,0.02,0.02
FRA00055,2016,0.02,0.02,0.02
FRA00055,2017,0.02,0.02,0.02
FRA00055,2018,0.02,0.02,0.02
FRA00055,2019,0.021666666666666667,0.02,0.04
FRA00055,2020,0.02,0.02,0.02
FRA00055,2021,0.02,0.02,0.02
FRA00056,2018,0.020016666666666665,0.02,0.0202
FRA00056,2021,0.02,0.02,0.02
FRA00057,2016,0.02,0.02,0.02
FRA00057,2017,0.02,0.02,0.02
FRA00057,2018,0.021333333333333333,0.02,0.04
FRA00057,2019,0.020437037037037035,0.02,0.0318
FRA00057,2020,0.02,0.02,0.02
FRA00057,2021,0.02,0.02,0.02
FRA00058,2016,0.02,0.02,0.02
FRA00058,2017,0.019999999999999997,0.02,0.02
FRA00058,2018,0.02,0.02,0.02
FRA00058,2019,0.02,0.02,0.02
FRA00058,2020,0.02,0.02,0.02
FRA00058,2021,0.02,0.02,0.02
FRA00059,2016,0.020883333333333334,0.02,0.0306
FRA00059,2017,0.02,0.02,0.02
FRA00059,2018,0.020563636363636364,0.02,0.0262
FRA00059,2019,0.020281818181818182,0.02,0.0231
FRA00059,2020,0.02074166666666667,0.02,0.0286
FRA00059,2021,0.02,0.02,0.02
FRA00060,2016,0.02146,0.02,0.0391
FRA00060,2017,0.02121111111111111,0.02,0.0429
FRA00060,2018,0.020460000000000002,0.02,0.0261
FRA00060,2019,0.020778571428571427,0.02,0.04
FRA00060,2020,0.020003703703703704,0.02,0.0201
FRA00060,2021,0.02061666666666667,0.02,0.0274
FRA00076,2020,0.01,0.01,0.01
FRA00076,2021,0.01,0.01,0.01
FRA00077,2019,1.9833333333333334,1.3,2.9
FRA00080,2015,0.05000000000000001,0.05,0.05
FRA00084,2015,0.05,0.05,0.05
FRA00088,2016,0.002166666666666667,0.001,0.003
FRA00088,2017,0.0025,0.001,0.004
FRA00088,2018,0.0041818181818181815,0.001,0.009
FRA00088,2019,0.0025833333333333333,0.001,0.005
FRA00088,2021,0.00151,0.001,0.0023
FRA00089,2016,0.001,0.001,0.001
FRA00089,2017,0.001,0.001,0.001
FRA00089,2018,0.001,0.001,0.001
FRA00089,2019,0.0031666666666666666,0.001,0.024
FRA00089,2021,0.001,0.001,0.001
FRA00090,2016,0.0020833333333333333,0.001,0.014
FRA00090,2017,0.0010833333333333335,0.001,0.002
FRA00090,2018,0.0011818181818181819,0.001,0.002
FRA00090,2019,0.0025,0.001,0.018
FRA00090,2021,0.001,0.001,0.001
FRA00091,2016,0.003916666666666666,0.001,0.019
FRA00091,2017,0.004,0.001,0.016
FRA00091,2018,0.003,0.001,0.006
FRA00091,2019,0.002916666666666667,0.001,0.006
FRA00091,2021,0.0019500000000000001,0.001,0.0035
FRA00092,2016,0.006166666666666667,0.003,0.015
FRA00092,2017,0.008749999999999999,0.001,0.018
FRA00092,2018,0.008909090909090908,0.001,0.022
FRA00092,2019,0.008749999999999999,0.003,0.016
FRA00092,2021,0.004536363636363636,0.0017,0.0118
FRA00093,2016,0.003416666666666667,0.001,0.007
FRA00093,2017,0.004083333333333334,0.003,0.007
FRA00093,2018,0.005583333333333333,0.001,0.011
FRA00093,2019,0.007083333333333334,0.003,0.034
FRA00093,2021,0.0021416666666666667,0.0012,0.0049
FRA00094,2016,0.002416666666666667,0.001,0.005
FRA00094,2017,0.0030416666666666665,0.001,0.017
FRA00094,2018,0.0023333333333333335,0.001,0.003
FRA00094,2019,0.002166666666666667,0.001,0.003
FRA00094,2021,0.0011090909090909092,0.001,0.0015
FRA00095,2016,0.0010833333333333335,0.001,0.003
FRA00095,2017,0.0010833333333333335,0.001,0.003
FRA00095,2018,0.0012000000000000001,0.001,0.002
FRA00095,2019,0.0011666666666666668,0.001,0.002
FRA00095,2021,0.0010363636363636365,0.001,0.0014
FRA00096,2016,0.002,0.001,0.003
FRA00096,2017,0.0024583333333333336,0.001,0.008
FRA00096,2018,0.0026363636363636363,0.001,0.006
FRA00096,2019,0.0018181818181818182,0.001,0.003
FRA00096,2021,0.0012181818181818181,0.001,0.0026
FRA00097,2016,0.0025833333333333333,0.001,0.004
FRA00097,2017,0.005999999999999999,0.001,0.018
FRA00097,2018,0.005583333333333333,0.002,0.017
FRA00097,2019,0.003916666666666666,0.002,0.007
FRA00097,2021,0.0031416666666666663,0.001,0.0084
FRA00098,2016,0.005166666666666667,0.003,0.007
FRA00098,2017,0.005916666666666667,0.001,0.01
FRA00098,2018,0.006083333333333333,0.003,0.014
FRA00098,2019,0.0065,0.004,0.013
FRA00098,2021,0.0031333333333333335,0.0017,0.0076
FRA00099,2016,0.001,0.001,0.001
FRA00099,2017,0.001,0.001,0.001
FRA00099,2018,0.001090909090909091,0.001,0.002
FRA00099,2019,0.001,0.001,0.001
FRA00099,2021,0.001,0.001,0.001
FRA00100,2016,0.005777777777777778,0.002,0.039
FRA00100,2017,0.007071428571428571,0.001,0.065
FRA00100,2018,0.0029090909090909093,0.001,0.006
FRA00100,2019,0.003909090909090909,0.001,0.011
FRA00100,2021,0.0018583333333333334,0.001,0.0045
FRA00101,2016,0.02764,0.002,0.05
FRA00101,2017,0.026971428571428573,0.0012,0.05
FRA00101,2018,0.02682,0.0016,0.05
FRA00101,2019,0.004304166666666667,0.0017,0.0105
FRA00101,2021,0.0034416666666666662,0.001,0.0074
FRA00102,2016,0.0014409090909090908,0.001,0.0026
FRA00102,2018,0.0012916666666666667,0.001,0.002
FRA00102,2019,0.001475,0.001,0.006
FRA00102,2021,0.0012749999999999999,0.001,0.0024
FRA00103,2016,0.02,0.02,0.02
FRA00103,2017,0.02,0.02,0.02
FRA00103,2018,0.02,0.02,0.02
FRA00103,2019,0.02,0.02,0.02
FRA00103,2020,0.02,0.02,0.02
FRA00103,2021,0.02,0.02,0.02
FRA00104,2016,0.02,0.02,0.02
FRA00104,2017,0.021133333333333334,0.02,0.0336
FRA00104,2018,0.02,0.02,0.02
FRA00104,2019,0.02,0.02,0.02
FRA00104,2020,0.02,0.02,0.02
FRA00104,2021,0.02,0.02,0.02
FRA00105,2016,0.02,0.02,0.02
FRA00105,2017,0.02,0.02,0.02
FRA00105,2018,0.02,0.02,0.02
FRA00105,2019,0.02,0.02,0.02
FRA00105,2020,0.02,0.02,0.02
FRA00105,2021,0.02,0.02,0.02
FRA00106,2016,0.02,0.02,0.02
FRA00106,2017,0.02,0.02,0.02
FRA00106,2018,0.02,0.02,0.02
FRA00106,2019,0.02,0.02,0.02
FRA00106,2020,0.02,0.02,0.02
FRA00106,2021,0.02,0.02,0.02
FRA00107,2016,0.02,0.02,0.02
FRA00107,2017,0.02,0.02,0.02
FRA00107,2018,0.02,0.02,0.02
FRA00107,2019,0.02,0.02,0.02
FRA00107,2020,0.02,0.02,0.02
FRA00107,2021,0.02,0.02,0.02
FRA00108,2016,0.02,0.02,0.02
FRA00108,2017,0.02,0.02,0.02
FRA00108,2018,0.02,0.02,0.02
FRA00108,2019,0.02,0.02,0.02
FRA00108,2020,0.02,0.02,0.02
FRA00108,2021,0.02,0.02,0.02
