iter	Passed	Remaining
810	1763	411
811	1765	408
812	1768	406
813	1770	404
814	1772	402
815	1775	400
816	1777	398
817	1779	396
818	1782	393
819	1784	391
820	1786	389
821	1788	387
822	1791	385
823	1793	383
824	1795	380
825	1798	378
826	1800	376
827	1803	374
828	1805	372
829	1807	370
830	1809	368
831	1811	365
832	1813	363
833	1816	361
834	1818	359
835	1820	357
836	1822	354
837	1824	352
838	1826	350
839	1829	348
840	1831	346
841	1834	344
842	1836	342
843	1838	339
844	1840	337
845	1843	335
846	1845	333
847	1847	331
848	1849	328
849	1851	326
850	1853	324
851	1856	322
852	1858	320
853	1860	318
854	1863	315
855	1865	313
856	1867	311
857	1869	309
858	1871	307
859	1873	304
860	1875	302
861	1877	300
862	1879	298
863	1881	296
864	1883	294
865	1885	291
866	1887	289
867	1890	287
868	1892	285
869	1894	283
870	1896	280
871	1898	278
872	1900	276
873	1903	274
874	1905	272
875	1907	269
876	1909	267
877	1911	265
878	1913	263
879	1915	261
880	1917	259
881	1919	256
882	1921	254
883	1924	252
884	1925	250
885	1927	248
886	1930	245
887	1932	243
888	1934	241
889	1936	239
890	1938	237
891	1940	234
892	1942	232
893	1945	230
894	1947	228
895	1949	226
896	1951	224
897	1953	221
898	1955	219
899	1957	217
900	1959	215
901	1961	213
902	1963	210
903	1965	208
904	1967	206
905	1970	204
906	1972	202
907	1974	200
908	1976	197
909	1978	195
910	1980	193
911	1982	191
912	1984	189
913	1986	186
914	1988	184
915	1990	182
916	1992	180
917	1994	178
918	1997	176
919	1999	173
920	2001	171
921	2003	169
922	2005	167
923	2007	165
924	2009	162
925	2012	160
926	2014	158
927	2016	156
928	2018	154
929	2020	152
930	2022	149
931	2024	147
932	2026	145
933	2028	143
934	2030	141
935	2032	139
936	2034	136
937	2037	134
938	2039	132
939	2041	130
940	2043	128
941	2045	125
942	2047	123
943	2049	121
944	2051	119
945	2053	117
946	2055	115
947	2057	112
948	2059	110
949	2061	108
950	2064	106
951	2066	104
952	2068	101
953	2070	99
954	2072	97
955	2074	95
956	2076	93
957	2078	91
958	2080	88
959	2082	86
960	2084	84
961	2086	82
962	2088	80
963	2090	78
964	2092	75
965	2094	73
966	2096	71
967	2099	69
968	2100	67
969	2103	65
970	2105	62
971	2107	60
972	2109	58
973	2111	56
974	2113	54
975	2115	52
976	2117	49
977	2119	47
978	2121	45
979	2123	43
980	2125	41
981	2127	39
982	2129	36
983	2131	34
984	2133	32
985	2135	30
986	2138	28
987	2140	25
988	2142	23
989	2144	21
990	2146	19
991	2148	17
992	2150	15
993	2152	12
994	2154	10
995	2156	8
996	2158	6
997	2160	4
998	2163	2
999	2165	0
