iter	Logloss
0	0.6908618824
1	0.6898434079
2	0.6882536223
3	0.6866706184
4	0.685442156
5	0.6836244203
6	0.6821780276
7	0.6812172891
8	0.6797203087
9	0.6785555086
10	0.6768978451
11	0.6753995817
12	0.6743811683
13	0.6729108259
14	0.6715422698
15	0.6699742956
16	0.6686778942
17	0.6674351353
18	0.666471403
19	0.665845533
20	0.6646288623
21	0.663363009
22	0.6624353846
23	0.6612380202
24	0.6605054762
25	0.6592628395
26	0.6585444087
27	0.657142433
28	0.6559062725
29	0.6549350865
30	0.6543415364
31	0.6538005901
32	0.6524459029
33	0.6521129895
34	0.6506111214
35	0.649799702
36	0.6490845093
37	0.6478413228
38	0.646904595
39	0.6461683241
40	0.6454406066
41	0.6445465241
42	0.6440308717
43	0.6434094006
44	0.6423349008
45	0.6413165485
46	0.6409234552
47	0.6399480535
48	0.6390350311
49	0.6380939655
50	0.6373275131
51	0.6365336284
52	0.6355802824
53	0.6350218016
54	0.6341335232
55	0.6333525909
56	0.6324031551
57	0.6319503097
58	0.6315765839
59	0.6307255131
60	0.6296799729
61	0.6289998495
62	0.628419374
63	0.6278784888
64	0.6271717885
65	0.626742404
66	0.6261217272
67	0.6255188294
68	0.6245203944
69	0.6238736906
70	0.623038627
71	0.6222817666
72	0.6213270766
73	0.6208444773
74	0.6201563502
75	0.6196922631
76	0.6192297033
77	0.6188255516
78	0.6183268229
79	0.6180047235
80	0.6173894842
81	0.6168519594
82	0.6161018196
83	0.6156065123
84	0.6151464575
85	0.6146489507
86	0.6140597384
87	0.6134298361
88	0.6128479554
89	0.6124968963
90	0.6119576608
91	0.6116260303
92	0.6112420404
93	0.6106277176
94	0.6102464769
95	0.6095777174
96	0.609079233
97	0.6085914406
98	0.6078862065
99	0.6071118726
100	0.6066587217
101	0.6060249703
102	0.6055816559
103	0.6048743446
104	0.6044098908
105	0.6037251851
106	0.6032810154
107	0.6027816146
108	0.6025195117
109	0.6020444883
110	0.6016393591
111	0.6011127094
112	0.6007794293
113	0.6003090493
114	0.6001228279
115	0.5998301158
116	0.599494514
117	0.5991172447
118	0.5986733804
119	0.5984953459
120	0.5979313053
121	0.5974172415
122	0.5969068434
123	0.5962581234
124	0.5957532239
125	0.5951319361
126	0.5946356513
127	0.5940479053
128	0.5936157715
129	0.5931569998
130	0.5926624867
131	0.592327557
132	0.592028552
133	0.5917661436
134	0.5913008956
135	0.5908673566
136	0.5905544216
137	0.5899043575
138	0.5896086516
139	0.5891932582
140	0.5888288801
141	0.5886704576
142	0.5881676354
143	0.5873605539
144	0.5869985586
145	0.5865472406
146	0.5858567919
147	0.5853821962
148	0.5849978396
149	0.5844863418
150	0.5840721703
151	0.5836985056
152	0.5831419799
153	0.5825533175
154	0.5821299815
155	0.5819162669
156	0.581383141
157	0.5809608437
158	0.5806585394
159	0.5802313544
160	0.5795900881
161	0.5792508817
162	0.5789166241
163	0.5785934861
164	0.5781659956
165	0.5776804637
166	0.5772329947
167	0.5768901225
168	0.5765451731
169	0.5761323457
170	0.5756774841
171	0.5752592192
172	0.5748082066
173	0.574417435
174	0.5738412363
175	0.5735702744
176	0.5732724912
177	0.5730227909
178	0.572554427
179	0.5721931648
180	0.5718821238
181	0.5716221593
182	0.5713477149
183	0.5710835347
184	0.5706950847
185	0.5703134164
186	0.5698771892
187	0.5692367172
188	0.5688475341
189	0.5684808954
190	0.5681408948
191	0.5678898503
192	0.5676959919
193	0.5673302697
194	0.566992774
195	0.5664612366
196	0.566162476
197	0.5656767607
198	0.5653266792
199	0.5649408564
200	0.5645640758
201	0.5643430296
202	0.5638635462
203	0.5635529328
204	0.562981133
205	0.5626997236
206	0.5625034214
207	0.5623855056
208	0.5619132927
209	0.5612702546
210	0.5609556089
211	0.5606770711
212	0.5603684739
213	0.5598819034
214	0.55955791
215	0.5591452048
216	0.5589550732
217	0.5585417571
218	0.5582965167
219	0.5579695296
220	0.557677184
221	0.5574243677
222	0.5570152061
223	0.5566784436
224	0.5563553055
225	0.5560016804
226	0.5556179348
227	0.555280378
228	0.5549651214
229	0.5545982995
230	0.5543435892
231	0.5541869384
232	0.5538382621
233	0.5534589766
234	0.5529874968
235	0.5527000389
236	0.5523147659
237	0.5522039984
238	0.5520408103
239	0.551800641
240	0.5515011471
241	0.5510809882
242	0.5506806245
243	0.5503829024
244	0.549950341
245	0.5496490753
246	0.5492916012
247	0.5490340194
248	0.5487485166
249	0.5484125483
250	0.5482103808
251	0.5478997063
252	0.5477171507
253	0.5473321222
254	0.5470905476
255	0.5468285058
256	0.5465368933
257	0.5463432182
258	0.5460147037
259	0.5456136679
260	0.5453451498
261	0.5451073632
262	0.5447396249
263	0.5444665857
264	0.5442736438
265	0.5439805039
266	0.5438211649
267	0.5435734807
268	0.5433663644
269	0.5430990072
270	0.5428776555
271	0.5425770008
272	0.5423428189
273	0.5419910878
274	0.5415850421
275	0.541353976
276	0.5409676644
277	0.540698902
278	0.5402387251
279	0.5401102396
280	0.5398364062
281	0.5394531494
282	0.5390107515
283	0.5388304564
284	0.5385494137
285	0.5383105273
286	0.5380948576
287	0.5377814949
288	0.537355654
289	0.5370158977
290	0.5367605765
291	0.5364654205
292	0.536201668
293	0.5359798275
294	0.535825926
295	0.535527593
296	0.5350864781
297	0.5348049465
298	0.5345730252
299	0.5343657256
300	0.5341360648
301	0.5337727254
302	0.5335701302
303	0.5332856049
304	0.532947315
305	0.5328050218
306	0.5325420635
307	0.532297312
308	0.5321072415
309	0.531780682
310	0.5314935908
311	0.5312555598
312	0.5309197748
313	0.5305531361
314	0.5303934305
315	0.5301743394
316	0.5299435177
317	0.5295815835
318	0.5293661582
319	0.5291578199
320	0.5288771437
321	0.5285987892
322	0.5283926505
323	0.5279927144
324	0.527748696
325	0.5274968572
326	0.5272247956
327	0.5270112642
328	0.5267797705
329	0.5265394789
330	0.5263004093
331	0.5259658462
332	0.5257596464
333	0.5256463739
334	0.5252219993
335	0.5250026027
336	0.5247922483
337	0.5245396764
338	0.5241925886
339	0.523864074
340	0.5236359406
341	0.5232520118
342	0.5231490035
343	0.522897959
344	0.5225942495
345	0.5222777709
346	0.5220559304
347	0.5217556424
348	0.5215375287
349	0.5211793825
350	0.5208923523
351	0.5206171748
352	0.5204204449
353	0.5200734181
354	0.5197369611
355	0.5196285152
356	0.519454452
357	0.5191942431
358	0.5190053946
359	0.5186784074
360	0.5184719632
361	0.5182366204
362	0.5179966954
363	0.5178287418
364	0.5176052517
365	0.517293111
366	0.5171825268
367	0.516792916
368	0.5165723585
369	0.5162712151
370	0.5158511783
371	0.5156269551
372	0.5153936896
373	0.5151997701
374	0.5150514895
375	0.5147295733
376	0.514526245
377	0.5142167314
378	0.5139271351
379	0.5136810394
380	0.5134345772
381	0.5131517015
382	0.512843532
383	0.5125208827
384	0.5122859676
385	0.5120012591
386	0.5116582647
387	0.511493702
388	0.5111595971
389	0.5109360154
390	0.5107251111
391	0.5103639406
392	0.510228368
393	0.5100123928
394	0.5098361912
395	0.5095789759
396	0.5092897463
397	0.5090563892
398	0.508700534
399	0.5084598148
400	0.5080850809
401	0.5078863959
402	0.5076840146
403	0.5074503825
404	0.5071674458
405	0.5069456969
406	0.5067187243
407	0.5064861309
408	0.5062744629
409	0.5059614668
410	0.5057322337
411	0.5055367868
412	0.505173875
413	0.5048042733
414	0.5045030382
415	0.5042617691
416	0.504063023
417	0.5038786039
418	0.5036969037
419	0.5034154638
420	0.5031065001
421	0.5029446255
422	0.5026693564
423	0.5024570469
424	0.5021841299
425	0.5020115025
426	0.5018037447
427	0.5016606878
428	0.5013676396
429	0.5010874217
430	0.5008490852
431	0.5006037837
432	0.5003930933
433	0.5002124928
434	0.4999000465
435	0.4996562114
436	0.4994078857
437	0.4992459501
438	0.4990275615
439	0.4987513148
440	0.498602912
441	0.4984550896
442	0.4981875491
443	0.4979711767
444	0.4976900423
445	0.4974504534
446	0.4972762069
447	0.497087786
448	0.4968564145
449	0.4966763639
450	0.496457792
451	0.496109635
452	0.4958383982
453	0.4955703384
454	0.4951960017
455	0.4949094297
456	0.4945622502
457	0.494244397
458	0.4939964378
459	0.4938306226
460	0.4936294938
461	0.4932948696
462	0.4930969788
463	0.4928817978
464	0.4926254074
465	0.4923930889
466	0.4919884179
467	0.491657154
468	0.4914402623
469	0.4912755773
470	0.4910433199
471	0.4906661117
472	0.4904867942
473	0.490260402
474	0.4898662701
475	0.4896129956
476	0.4893129824
477	0.4890484662
478	0.4887332401
479	0.4884823178
480	0.4882116003
481	0.4880878804
482	0.4879114344
483	0.4877183397
484	0.4874738019
485	0.4872291114
486	0.4868949149
487	0.486676618
488	0.4863851278
489	0.4861632262
490	0.485925348
491	0.4857353997
492	0.4855471316
493	0.485305557
494	0.4850813338
495	0.4848385678
496	0.4846392413
497	0.4843793989
498	0.4841543814
499	0.4839515419
500	0.4837818165
501	0.4834876991
502	0.4832077561
503	0.4830108123
504	0.4828488767
505	0.4826117622
506	0.4823992388
507	0.482071488
508	0.4818346178
509	0.4816140909
510	0.4814624195
511	0.4811927406
512	0.4809518381
513	0.4807155178
514	0.4805101733
515	0.4802705538
516	0.4800941689
517	0.4798988747
518	0.4796010305
519	0.4794033841
520	0.4792117252
521	0.4788555645
522	0.4787224358
523	0.4784748738
524	0.4782814736
525	0.4780243195
526	0.47775739
527	0.4775248271
528	0.4772695058
529	0.4770970311
530	0.4766946512
531	0.4763976929
532	0.4761988551
533	0.4760837192
534	0.4758481626
535	0.4755130191
536	0.4752054606
537	0.4750336579
538	0.4747805056
539	0.4745974918
540	0.4743414068
541	0.4740873075
542	0.4738607626
543	0.4736424963
544	0.4734053512
545	0.4731979905
546	0.4729985112
547	0.4726240523
548	0.4722964542
549	0.4721502508
550	0.4719935389
551	0.4716932814
552	0.4714389072
553	0.4712449266
554	0.4710380547
555	0.4707636408
556	0.4706357358
557	0.4704537912
558	0.470197248
559	0.469889048
560	0.4697002911
561	0.4695513079
562	0.4693712878
563	0.469140344
564	0.4688246596
565	0.468540562
566	0.4682850575
567	0.4678936444
568	0.4676830761
569	0.4672971922
570	0.467156457
571	0.4668828069
572	0.4667786072
573	0.4665806554
574	0.4664119075
575	0.4662443205
576	0.4660384567
577	0.4657833798
578	0.465501329
579	0.465343273
580	0.4651195079
581	0.4649366163
582	0.4647439187
583	0.4644422254
584	0.4642516662
585	0.4638857608
586	0.4636563443
587	0.46345714
588	0.4631246847
589	0.4629970852
590	0.4627715484
591	0.4626623389
592	0.4623650139
593	0.4621934557
594	0.4620304203
595	0.4617807505
596	0.4616110862
597	0.4613705197
598	0.4612187871
599	0.4609304434
600	0.4607252211
601	0.4605063437
602	0.460279585
603	0.460163105
604	0.4598876831
605	0.4596551508
606	0.4595400454
607	0.4593884656
608	0.4591892918
609	0.4589609446
610	0.4587377294
611	0.4585640328
612	0.4583863038
613	0.4580526571
614	0.457867841
615	0.4577285415
616	0.457597429
617	0.4573684097
618	0.4572136223
619	0.4568314958
620	0.456584392
621	0.4563767258
622	0.4561238485
623	0.455931212
624	0.4556223093
625	0.4554816657
626	0.4553005154
627	0.4550024878
628	0.4548681983
629	0.4545575849
630	0.4543016527
631	0.4541042202
632	0.4539598192
633	0.4537492815
634	0.4535904923
635	0.4534241273
636	0.4531767791
637	0.4530569999
638	0.4527684117
639	0.4524064775
640	0.4521699434
641	0.4518219391
642	0.451552749
643	0.4513268151
644	0.4510279322
645	0.4507895347
646	0.4506016026
647	0.4504192914
648	0.4501323834
649	0.4499552042
650	0.4498349057
651	0.4496539997
652	0.4494804252
653	0.4492445021
654	0.4490180794
655	0.448762025
656	0.4485549087
657	0.4482084929
658	0.4479374394
659	0.4477731516
660	0.4476725566
661	0.4474709084
662	0.4472673051
663	0.4470895456
664	0.4467790239
665	0.4465390684
666	0.4463288362
667	0.4460972508
668	0.445871714
669	0.4456017908
670	0.4454641104
671	0.445251251
672	0.4451208411
673	0.4449394463
674	0.4448257156
675	0.4446324987
676	0.4444358299
677	0.4441352974
678	0.4439559188
679	0.4436156127
680	0.4434425575
681	0.443256886
682	0.4430130814
683	0.4427283118
684	0.4425708057
685	0.4423279786
686	0.4421106592
687	0.4417662597
688	0.4415822378
689	0.4412982929
690	0.4409799814
691	0.4408465167
692	0.4407385291
693	0.4405440902
694	0.4404304818
695	0.4401630024
696	0.4399741538
697	0.4396855351
698	0.4395173677
699	0.4392451839
700	0.4391217389
701	0.4389832337
702	0.4387425145
703	0.4385314269
704	0.4382691102
705	0.4380817585
706	0.4378311111
707	0.4376890318
708	0.4374871087
709	0.4373447239
710	0.4372032555
711	0.4370260153
712	0.4368707697
713	0.4364826558
714	0.4363315647
715	0.4361493757
716	0.4359609243
717	0.4357089023
718	0.4354774086
719	0.4351767539
720	0.4350080671
721	0.4347615743
722	0.4345125154
723	0.43426978
724	0.4339994597
725	0.4338105806
726	0.4335758488
727	0.4333462491
728	0.4331687034
729	0.4328153532
730	0.4326730906
731	0.4324933454
732	0.4323044358
733	0.4321270734
734	0.4317499873
735	0.4315718917
736	0.4314258106
737	0.4312353736
738	0.4310124944
739	0.430611031
740	0.430439045
741	0.4302665092
742	0.4300052616
743	0.4298298543
744	0.4296654748
745	0.4294376469
746	0.4290699391
747	0.4288768749
748	0.4286468475
749	0.4283541048
750	0.4280651501
751	0.4278171604
752	0.4275690485
753	0.4274066547
754	0.4272027154
755	0.4270450871
756	0.4267902546
757	0.4265887592
758	0.4263844228
759	0.4262123146
760	0.4259561686
761	0.4258138143
762	0.4256199559
763	0.4254574399
764	0.4252248159
765	0.4251594429
766	0.4249288962
767	0.424709805
768	0.4245069044
769	0.4242627026
770	0.4240793528
771	0.423832249
772	0.4236216197
773	0.4233898205
774	0.4231960232
775	0.4230119402
776	0.4228081536
777	0.4225449204
778	0.422297725
779	0.4219790775
780	0.4217428488
781	0.4215921244
782	0.4214500756
783	0.4212755236
784	0.4211447165
785	0.4209514385
786	0.4207204641
787	0.4205288357
788	0.420316068
789	0.4200589139
790	0.4199070592
791	0.4197745414
792	0.419541001
793	0.4193806233
794	0.4192529321
795	0.4191226138
796	0.4189767465
797	0.4187803526
798	0.4184440177
799	0.4182691603
800	0.4180778679
801	0.4178902719
802	0.4176705086
803	0.4174263375
804	0.4173049392
805	0.4171443172
806	0.4169148396
807	0.4167484745
808	0.4166714322
809	0.4165067778
810	0.4163053434
811	0.4161814402
812	0.4159563005
813	0.41567761
814	0.4155113365
815	0.4153516309
816	0.4151470196
817	0.4149480902
818	0.4147315956
819	0.4146116331
820	0.4145056922
821	0.4142602075
822	0.4140975387
823	0.4138723379
824	0.4136727365
825	0.4135784649
826	0.41345948
827	0.4132640025
828	0.4130519374
829	0.4128378867
830	0.4125916077
831	0.4123768544
832	0.4121500957
833	0.4118290959
834	0.4114982597
835	0.4112779161
836	0.4111079463
837	0.4110000809
838	0.4108713816
839	0.4107216347
840	0.410568833
841	0.410466619
842	0.4103940366
843	0.4102844299
844	0.4100486595
845	0.4098363195
846	0.4096167701
847	0.4093708577
848	0.4091830172
849	0.4089956045
850	0.408768357
851	0.4084090194
852	0.4081659479
853	0.4079199439
854	0.4077523568
855	0.4075514724
856	0.4073226058
857	0.4071845894
858	0.4069593275
859	0.4067512337
860	0.4065247498
861	0.4063053532
862	0.406159547
863	0.4060160014
864	0.405784752
865	0.4056331722
866	0.4055029761
867	0.4053297682
868	0.4051629144
869	0.4049681395
870	0.404815124
871	0.4046734112
872	0.404378133
873	0.4040790058
874	0.4038020565
875	0.4037114202
876	0.4034480037
877	0.4032869234
878	0.4031468602
879	0.4029888042
880	0.4027916466
881	0.4025371502
882	0.4023970259
883	0.4021552375
884	0.4019049567
885	0.4017923563
886	0.4015854844
887	0.4014321634
